locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Sopot Sopot Dolny,ul. gen. Jarosława Dąbrowskiego,3,69,1050000,15284,Bez pośredników,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-gen-jaroslawa-dabrowskiego-3-pokojowe-g6s4c8,https://s2.adresowa.pl/oi/3f/23/32cf20_8ae9_cover-3-pokojowe-mieszkanie-sopot-sopot-dolny-ul-gen-jaroslawa-dabrowskiego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Sopot Kamienny Potok,ul. Józefa Kraszewskiego,3,51,799000,15667,Bez pośredników,ponad miesiąc temu,14,https://adresowo.pl/o/mieszkanie-sopot-kamienny-potok-ul-jozefa-kraszewskiego-3-pokojowe-x4p3b5,https://s2.adresowa.pl/oi/66/49/3286a2_9fd8_cover-3-pokojowe-mieszkanie-sopot-kamienny-potok-ul-jozefa-kraszewskiego.jpg
Sopot Brodwino,ul. Oskara Kolberga,4,68,1100000,16176,Bez pośredników,ponad miesiąc temu,19,https://adresowo.pl/o/mieszkanie-sopot-brodwino-ul-oskara-kolberga-4-pokojowe-g3f6u6,https://s2.adresowa.pl/oi/4f/34/31d748_d535_cover-4-pokojowe-mieszkanie-sopot-brodwino-ul-oskara-kolberga.jpg
Sopot,ul. Adama Mickiewicza,3,54,834000,15387,Oferta biura nieruchomości,ponad miesiąc temu,20,https://adresowo.pl/o/mieszkanie-sopot-ul-adama-mickiewicza-3-pokojowe-p9v0r6,https://s2.adresowa.pl/oi/52/79/37e114_d868_cover-3-pokojowe-mieszkanie-sopot-ul-adama-mickiewicza.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Sopot,ul. Adama Mickiewicza,2,39,719000,18436,Oferta biura nieruchomości,ponad miesiąc temu,9,https://adresowo.pl/o/mieszkanie-sopot-ul-adama-mickiewicza-2-pokojowe-u6x3d5,https://s2.adresowa.pl/oi/6c/1a/377ce2_2a15_cover-2-pokojowe-mieszkanie-sopot-ul-adama-mickiewicza.jpg
Sopot Sopot Dolny,ul. Dworcowa,3,76,1680000,22105,Bez pośredników,ponad miesiąc temu,4,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-dworcowa-3-pokojowe-j2g6u5,https://s2.adresowa.pl/oi/29/5e/2ec156_a0e6_cover-3-pokojowe-mieszkanie-sopot-sopot-dolny-ul-dworcowa.jpg
